NAME,TEAM,POSITION,CREDITS,POINTS,POINTS PER CREDIT,AVERAGE + ALLOWED POINTS
Williams-goss Nigel,ZAL,G,9.9,10.7,1.0808080808080807,24.04
Lo Maodo,ZAL,G,9.7,10.2,1.0515463917525774,23.54
Sleva Dustin,ZAL,F,7.9,5.2,0.6582278481012658,14.8
Sirvydis Deividas,ZAL,G,6.5,2.4,0.3692307692307692,15.74
Francisco Sylvain,ZAL,G,14.4,16.9,1.173611111111111,30.24
Wright Moses,ZAL,C,11.5,16.6,1.4434782608695653,27.6
Tubelis Azuolas,ZAL,F,8.1,7.6,0.9382716049382716,17.2
Fernando Bruno,PAR,C,7.3,5.5,0.7534246575342466,14.72
Campazzo Facundo,RMB,G,13.3,8.6,0.6466165413533834,22.02
Tavares Walter,RMB,C,13.9,11.7,0.8417266187050358,30.13
Deck Gabriel,RMB,F,10.0,8.7,0.8699999999999999,22.36
Llull Sergio,RMB,G,5.0,3.2,0.64,16.62
Hezonja Mario,RMB,F,13.5,13.2,0.9777777777777777,26.86
Abalde Alberto,RMB,F,5.4,3.6,0.6666666666666666,17.26
Feliz Andres,RMB,G,6.6,4.4,0.6666666666666667,17.82
Garuba Usman,RMB,F,6.9,2.7,0.391304347826087,16.36
Lyles Trey,RMB,F,12.6,16.2,1.2857142857142856,29.86
Kramer David,RMB,G,6.7,2.3,0.34328358208955223,15.719999999999999
Okeke Chuma,RMB,F,13.2,14.4,1.090909090909091,28.060000000000002
Vildoza Luca,VIR,G,8.8,6.7,0.7613636363636364,18.61
Edwards Carsen,VIR,G,14.5,17.0,1.1724137931034482,28.91
Hackett Daniel,VIR,G,5.7,4.1,0.719298245614035,16.009999999999998
Pajola Alessandro,VIR,G,8.6,13.3,1.5465116279069768,25.21
Smailagic Alen,VIR,F,9.0,9.8,1.088888888888889,20.59
Jallow Karim,VIR,F,8.6,7.7,0.8953488372093024,18.49
Niang Saliou,VIR,F,8.5,13.2,1.552941176470588,23.99
Morgan Matthew,VIR,G,7.9,7.6,0.9620253164556961,19.509999999999998
Diouf Mouhamet,VIR,C,6.8,5.6,0.8235294117647058,24.839999999999996
Diarra Aliou,VIR,C,8.6,4.4,0.5116279069767442,23.64
Alston Jr. Derrick,VIR,F,8.4,4.1,0.488095238095238,14.889999999999999
Taylor Brandon,VIR,G,7.7,0.1,0.012987012987012988,12.01
Luwawu-cabarrot Timothe,BKN,F,10.3,17.8,1.7281553398058251,26.560000000000002
Sedekerskis Tadas,BKN,F,10.3,9.5,0.9223300970873786,18.259999999999998
